business_id,business_postal_code,business_latitude,business_longitude,inspection_score,violation_id,violation_description,inspection_year,inspection_month,inspection_day
68894,94110.0,37.760954999999996,-122.421552,91.0,103144.0,2.0,2019,5,29
479,94133.0,37.799003000000006,-122.407274,82.0,103124.0,1.0,2019,6,4
2589,94102.0,37.786363,-122.40835700000001,79.0,103145.0,3.0,2017,3,9
2085,94109.0,37.783053,-122.41898799999998,86.0,103151.0,4.0,2017,9,20
3838,94103.0,37.764908,-122.42244199999999,90.0,103133.0,1.0,2018,6,20
1850,94111.0,37.800178,-122.40131699999999,82.0,103119.0,4.0,2019,9,5
1994,94112.0,37.715469,-122.441846,85.0,103124.0,1.0,2019,6,17
65350,94112.0,37.713426,-122.436347,86.0,103157.0,2.0,2019,6,7
3374,94102.0,37.787217999999996,-122.40897700000001,74.0,103105.0,3.0,2019,7,25
3715,94110.0,37.764272,-122.421898,96.0,103142.0,1.0,2019,10,2
59727,94133.0,37.808240000000005,-122.41018899999999,92.0,103131.0,1.0,2019,6,12
65856,94101.0,37.774998,-122.418299,84.0,103144.0,2.0,2019,8,28
3834,94114.0,37.768743,-122.427549,87.0,103103.0,3.0,2018,6,18
61923,94107.0,37.783772,-122.398875,94.0,103154.0,1.0,2019,7,18
64161,94109.0,37.786119,-122.418182,70.0,103131.0,1.0,2017,6,23
2922,94102.0,37.788882,-122.41083300000001,82.0,103119.0,4.0,2019,7,18
9156,94107.0,37.782218,-122.393423,67.0,103154.0,1.0,2019,9,10
2926,94102.0,37.788672999999996,-122.408524,92.0,103157.0,2.0,2019,7,9
62779,94107.0,37.780739000000004,-122.39501499999999,90.0,103159.0,3.0,2019,8,27
25153,94102.0,37.7877,-122.408345,91.0,103109.0,1.0,2019,6,10
1609,94114.0,37.751373,-122.43231899999999,84.0,103144.0,2.0,2019,8,1
71696,94115.0,37.788014000000004,-122.44075600000001,94.0,103161.0,1.0,2019,7,2
2555,94123.0,37.797578,-122.43188300000001,83.0,103131.0,1.0,2019,1,31
64814,94115.0,37.787323,-122.44032299999999,76.0,103139.0,3.0,2018,7,3
28206,94103.0,37.784679,-122.40706100000001,96.0,103154.0,1.0,2019,6,6
69244,94107.0,37.780975,-122.402612,90.0,103144.0,2.0,2019,7,1
27790,94102.0,37.781454,-122.420644,96.0,103131.0,1.0,2019,8,7
60472,94108.0,37.789995000000005,-122.405484,81.0,103132.0,3.0,2019,5,31
3491,94109.0,37.787677,-122.413624,88.0,103149.0,1.0,2019,5,30
67985,94103.0,37.774722,-122.40676100000002,88.0,103120.0,3.0,2019,9,23
4531,94103.0,37.773884,-122.408631,92.0,103150.0,4.0,2019,7,8
2263,94118.0,37.782933,-122.46408899999999,68.0,103154.0,1.0,2019,4,2
2085,94109.0,37.783053,-122.41898799999998,65.0,103124.0,1.0,2018,10,23
25374,94111.0,37.801285,-122.40040400000001,85.0,103154.0,1.0,2019,8,21
3861,94134.0,37.731788,-122.405381,83.0,103161.0,1.0,2019,9,3
1442,94133.0,37.807155,-122.419004,90.0,103144.0,2.0,2019,6,6
3491,94109.0,37.787677,-122.413624,88.0,103132.0,3.0,2019,5,30
3286,94109.0,37.787997999999995,-122.42011699999999,81.0,103105.0,3.0,2019,2,14
1791,94121.0,37.781597,-122.492544,88.0,103145.0,3.0,2018,12,7
62896,94105.0,37.789057,-122.395322,81.0,103116.0,3.0,2019,2,13
68540,94112.0,37.730249,-122.42973899999998,92.0,103124.0,1.0,2019,6,10
63897,94109.0,37.791914,-122.420984,88.0,103157.0,2.0,2019,7,10
33113,94102.0,37.785446,-122.412972,88.0,103129.0,4.0,2019,8,5
3129,94102.0,37.789014,-122.409967,96.0,103124.0,1.0,2019,5,30
1249,94110.0,37.753690999999996,-122.41865700000001,75.0,103150.0,4.0,2019,7,8
36014,94114.0,37.763263,-122.43446000000002,83.0,103144.0,2.0,2019,7,9
552,94122.0,37.763428000000005,-122.48173600000001,81.0,103138.0,3.0,2017,8,15
1527,94107.0,37.780263,-122.403323,92.0,103161.0,1.0,2019,7,1
59826,94117.0,37.775813,-122.446047,92.0,103144.0,2.0,2019,2,7
1296,94112.0,37.761743,-122.42149199999999,81.0,103118.0,1.0,2018,10,25
2109,94109.0,37.786353999999996,-122.416628,86.0,103154.0,1.0,2019,6,6
3614,94103.0,37.765028,-122.420402,81.0,103116.0,3.0,2017,11,16
3862,94134.0,37.728458,-122.40399099999999,73.0,103156.0,2.0,2017,9,5
15279,94112.0,37.724174,-122.43585900000001,83.0,103110.0,2.0,2019,5,31
14688,94111.0,37.792343,-122.39856699999999,89.0,103103.0,3.0,2019,8,1
65834,94112.0,37.717423,-122.440265,71.0,103119.0,4.0,2019,6,11
3951,94121.0,37.779962,-122.48508700000001,77.0,103153.0,3.0,2019,7,29
63897,94109.0,37.791914,-122.420984,88.0,103131.0,1.0,2019,7,10
30532,94124.0,37.730959000000006,-122.39193999999999,78.0,103102.0,1.0,2019,9,25
62889,94105.0,37.785608,-122.399069,94.0,103149.0,1.0,2019,7,10
62777,94115.0,37.788652,-122.43552700000001,90.0,103144.0,2.0,2018,10,24
5258,94112.0,37.712715,-122.45136299999999,88.0,103130.0,4.0,2019,6,11
2299,94109.0,37.788476,-122.422099,96.0,103156.0,2.0,2019,8,15
2409,94103.0,37.765142,-122.419026,87.0,103103.0,3.0,2019,7,24
7786,94110.0,37.750959,-122.418264,87.0,103103.0,3.0,2019,7,29
63601,94103.0,37.784163,-122.40473899999999,86.0,103121.0,3.0,2019,6,7
33945,94105.0,37.790696999999994,-122.39956299999999,94.0,103124.0,1.0,2019,7,8
1832,94108.0,37.790125,-122.403924,71.0,103149.0,1.0,2018,12,3
60473,94109.0,37.785503000000006,-122.41515700000001,83.0,103120.0,3.0,2019,9,10
1296,94112.0,37.761743,-122.42149199999999,81.0,103139.0,3.0,2018,10,25
2797,94109.0,37.785358,-122.421357,88.0,103156.0,2.0,2019,5,30
11379,94117.0,37.774824,-122.436094,79.0,103144.0,2.0,2018,4,24
62462,94102.0,37.781518,-122.416982,83.0,103139.0,3.0,2019,6,12
34395,94133.0,37.797665,-122.406273,91.0,103103.0,3.0,2019,6,4
2252,94104.0,37.789064,-122.40286100000002,96.0,103142.0,1.0,2019,7,15
3237,94122.0,37.763273999999996,-122.483179,75.0,103133.0,1.0,2019,8,20
315,94114.0,37.760954,-122.43493500000001,94.0,103149.0,1.0,2019,7,23
305,94123.0,37.800763,-122.436536,90.0,103149.0,1.0,2019,1,17
59025,94104.0,37.791308,-122.40013400000001,84.0,103148.0,4.0,2019,6,11
33851,94107.0,37.764987,-122.399872,69.0,103144.0,2.0,2019,3,15
3229,94121.0,37.780083000000005,-122.483108,81.0,103109.0,1.0,2018,2,7
4495,94111.0,37.795225,-122.39376999999999,90.0,103144.0,2.0,2019,6,11
61390,94103.0,37.777504,-122.406948,96.0,103120.0,3.0,2019,7,16
38808,94122.0,37.763603,-122.477497,69.0,103124.0,1.0,2019,8,5
39513,94102.0,37.775902,-122.426174,87.0,103139.0,3.0,2019,9,18
2085,94109.0,37.783053,-122.41898799999998,78.0,103114.0,1.0,2016,11,8
4864,94110.0,37.759174,-122.41906599999999,78.0,103154.0,1.0,2019,7,8
5842,94117.0,37.763842,-122.45051299999999,96.0,103116.0,3.0,2019,9,12
64612,94112.0,37.722252000000005,-122.436625,80.0,103131.0,1.0,2018,2,26
64612,94112.0,37.722252000000005,-122.436625,80.0,103144.0,2.0,2018,2,26
140,94104.0,37.793268,-122.400323,79.0,103129.0,4.0,2019,6,12
4746,94105.0,37.791588,-122.39291999999999,82.0,103103.0,3.0,2019,7,8
2519,94109.0,37.786864,-122.42321799999999,90.0,103149.0,1.0,2019,7,9
65692,94121.0,37.780234,-122.479979,94.0,103120.0,3.0,2019,8,14
1249,94110.0,37.753690999999996,-122.41865700000001,75.0,103155.0,2.0,2019,7,8
65051,94110.0,37.761146999999994,-122.42153400000001,90.0,103120.0,3.0,2019,5,29
31,94133.0,37.807155,-122.419004,94.0,103129.0,4.0,2019,7,2
7527,94112.0,37.724121999999994,-122.429309,94.0,103131.0,1.0,2019,7,8
